Keyword,Avg. monthly search,Jul 2025,Aug 2025,Sep 2025,Okt 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mrt 2026,Apr 2026,Mei 2026,Jun 2026
christmas party dress,40500,3600,8100,33100,90500,246000,110000,1600,880,880,720,880,1000
hoodies,110000,60500,90500,135000,135000,201000,165000,90500,74000,90500,74000,60500,49500
coat,74000,33100,60500,135000,135000,201000,110000,90500,60500,49500,33100,27100,27100
dresses,165000,201000,165000,165000,135000,165000,165000,201000,165000,201000,165000,201000,201000
womens trainers,110000,74000,90500,110000,90500,165000,165000,90500,90500,110000,90500,90500,74000
mens tracksuits,74000,33100,49500,90500,110000,165000,165000,74000,60500,60500,49500,40500,33100
womens coats,60500,14800,40500,110000,135000,165000,135000,90500,49500,33100,14800,12100,8100
mens coats,49500,9900,22200,74000,90500,165000,110000,60500,33100,22200,12100,8100,6600
tracksuit,74000,49500,60500,90500,110000,135000,135000,74000,60500,74000,49500,49500,40500
knee high boots,60500,27100,40500,110000,135000,135000,110000,60500,40500,33100,22200,18100,14800
mens hoodies,60500,22200,33100,74000,74000,135000,165000,49500,40500,40500,33100,27100,22200
jeans,90500,60500,74000,135000,90500,110000,110000,90500,74000,90500,74000,60500,49500
trench coat,74000,33100,60500,110000,110000,110000,74000,60500,60500,74000,60500,40500,27100
trench jacket,74000,33100,60500,110000,110000,110000,74000,60500,60500,74000,60500,40500,27100
trench trench coat,74000,33100,60500,110000,110000,110000,74000,60500,60500,74000,60500,40500,27100
jacket,60500,33100,49500,90500,90500,110000,90500,60500,60500,74000,60500,40500,33100
puffer jacket,49500,14800,33100,74000,74000,110000,74000,60500,33100,22200,14800,12100,9900
mens jackets,49500,18100,27100,60500,74000,110000,110000,60500,49500,49500,33100,27100,18100
party dresses,40500,33100,33100,40500,60500,110000,74000,40500,33100,33100,27100,27100,27100
fur coat,40500,9900,22200,40500,60500,110000,110000,60500,33100,14800,9900,6600,5400
christmas party outfit,22200,880,1900,9900,33100,110000,74000,720,480,390,320,260,260
cardigan,74000,74000,110000,135000,90500,90500,90500,74000,60500,74000,74000,74000,60500
cardigan clothes,74000,74000,110000,135000,90500,90500,90500,74000,60500,74000,74000,74000,60500
cardigans clothing,74000,74000,110000,135000,90500,90500,90500,74000,60500,74000,74000,74000,60500
black dress,74000,74000,60500,74000,90500,90500,74000,74000,60500,74000,60500,60500,60500
pyjamas,49500,33100,33100,49500,60500,90500,110000,49500,40500,40500,27100,33100,27100
womens tracksuits,49500,18100,33100,60500,60500,90500,90500,49500,40500,40500,27100,22200,18100
arne clothing,49500,27100,40500,49500,49500,90500,90500,60500,40500,40500,40500,40500,40500
boots docmart,40500,18100,27100,49500,60500,90500,74000,49500,27100,22200,18100,14800,12100
ladies dressing gowns,33100,12100,18100,40500,40500,90500,90500,33100,22200,22200,14800,14800,12100
jumper dress,27100,3600,8100,40500,60500,90500,74000,33100,18100,8100,4400,2900,1900
sweatshirt jumper dress,27100,3600,8100,40500,60500,90500,74000,33100,18100,8100,4400,2900,1900
jumper and dress,27100,3600,8100,40500,60500,90500,74000,33100,18100,8100,4400,2900,1900
