Keyword,Avg. monthly search,Jul 2025,Aug 2025,Sep 2025,Okt 2025,Nov 2025,Dec 2025,Jan 2026,Feb 2026,Mrt 2026,Apr 2026,Mei 2026,Jun 2026
wedding guest dresses,246000,368000,301000,201000,135000,74000,60500,201000,246000,301000,301000,368000,301000
dresses,165000,201000,165000,165000,135000,165000,165000,201000,165000,201000,165000,201000,201000
hoodies,110000,60500,90500,135000,135000,201000,165000,90500,74000,90500,74000,60500,49500
coat,74000,33100,60500,135000,135000,201000,110000,90500,60500,49500,33100,27100,27100
knee high boots,60500,27100,40500,110000,135000,135000,110000,60500,40500,33100,22200,18100,14800
womens coats,60500,14800,40500,110000,135000,165000,135000,90500,49500,33100,14800,12100,8100
trench coat,74000,33100,60500,110000,110000,110000,74000,60500,60500,74000,60500,40500,27100
trench jacket,74000,33100,60500,110000,110000,110000,74000,60500,60500,74000,60500,40500,27100
trench trench coat,74000,33100,60500,110000,110000,110000,74000,60500,60500,74000,60500,40500,27100
mens tracksuits,74000,33100,49500,90500,110000,165000,165000,74000,60500,60500,49500,40500,33100
tracksuit,74000,49500,60500,90500,110000,135000,135000,74000,60500,74000,49500,49500,40500
womens trainers,110000,74000,90500,110000,90500,165000,165000,90500,90500,110000,90500,90500,74000
jeans,90500,60500,74000,135000,90500,110000,110000,90500,74000,90500,74000,60500,49500
cardigan,74000,74000,110000,135000,90500,90500,90500,74000,60500,74000,74000,74000,60500
cardigan clothes,74000,74000,110000,135000,90500,90500,90500,74000,60500,74000,74000,74000,60500
cardigans clothing,74000,74000,110000,135000,90500,90500,90500,74000,60500,74000,74000,74000,60500
black dress,74000,74000,60500,74000,90500,90500,74000,74000,60500,74000,60500,60500,60500
leather jackets,60500,40500,49500,74000,90500,74000,74000,60500,60500,74000,74000,60500,33100
jackets leather,60500,40500,49500,74000,90500,74000,74000,60500,60500,74000,74000,60500,33100
jacket leder,60500,40500,49500,74000,90500,74000,74000,60500,60500,74000,74000,60500,33100
leather jacket,60500,40500,49500,74000,90500,74000,74000,60500,60500,74000,74000,60500,33100
jacket,60500,33100,49500,90500,90500,110000,90500,60500,60500,74000,60500,40500,33100
mens coats,49500,9900,22200,74000,90500,165000,110000,60500,33100,22200,12100,8100,6600
christmas party dress,40500,3600,8100,33100,90500,246000,110000,1600,880,880,720,880,1000
pea coat,40500,18100,33100,49500,90500,60500,49500,40500,27100,22200,14800,12100,9900
victoria beckham clothing,12100,1000,1300,1300,90500,14800,9900,12100,5400,2400,1900,2400,1600
mens hoodies,60500,22200,33100,74000,74000,135000,165000,49500,40500,40500,33100,27100,22200
puffer jacket,49500,14800,33100,74000,74000,110000,74000,60500,33100,22200,14800,12100,9900
mens jackets,49500,18100,27100,60500,74000,110000,110000,60500,49500,49500,33100,27100,18100
anna wintour,49500,60500,27100,49500,74000,27100,40500,22200,22200,33100,60500,135000,18100
black boots,33100,22200,27100,49500,74000,74000,60500,40500,27100,22200,18100,14800,14800
shorts,90500,110000,74000,60500,60500,60500,74000,74000,74000,90500,110000,135000,135000
women clothing,60500,49500,49500,49500,60500,60500,74000,49500,49500,60500,60500,49500,49500
bomber jacket,49500,27100,40500,60500,60500,74000,49500,49500,40500,49500,49500,40500,27100
waterproof jacket,49500,40500,40500,90500,60500,60500,40500,40500,40500,27100,22200,27100,40500
pyjamas,49500,33100,33100,49500,60500,90500,110000,49500,40500,40500,27100,33100,27100
womens tracksuits,49500,18100,33100,60500,60500,90500,90500,49500,40500,40500,27100,22200,18100
sainsbury's clothing,49500,49500,49500,49500,60500,60500,60500,33100,33100,40500,40500,49500,40500
weatherproof jacket,49500,40500,40500,90500,60500,60500,40500,40500,40500,27100,22200,27100,40500
boots docmart,40500,18100,27100,49500,60500,90500,74000,49500,27100,22200,18100,14800,12100
chelsea boots boots,40500,22200,33100,60500,60500,74000,74000,49500,33100,33100,22200,22200,18100
mens jeans,40500,27100,33100,49500,60500,74000,90500,40500,40500,40500,33100,27100,22200
black tie dresses,40500,27100,33100,49500,60500,74000,33100,49500,40500,40500,40500,40500,33100
party dresses,40500,33100,33100,40500,60500,110000,74000,40500,33100,33100,27100,27100,27100
fur coat,40500,9900,22200,40500,60500,110000,110000,60500,33100,14800,9900,6600,5400
men's jeans,40500,27100,33100,49500,60500,74000,90500,40500,40500,40500,33100,27100,22200
womens jumpers,33100,8100,18100,49500,60500,74000,90500,40500,22200,18100,12100,8100,5400
puffer jacket women,33100,8100,18100,49500,60500,74000,49500,49500,22200,18100,9900,8100,5400
ladies puffer jacket,33100,8100,18100,49500,60500,74000,49500,49500,22200,18100,9900,8100,5400
jumper dress,27100,3600,8100,40500,60500,90500,74000,33100,18100,8100,4400,2900,1900
brown knee high boots,27100,8100,18100,49500,60500,60500,40500,22200,14800,12100,8100,6600,4400
brown knee boots,27100,8100,18100,49500,60500,60500,40500,22200,14800,12100,8100,6600,4400
brown high boots,27100,8100,18100,49500,60500,60500,40500,22200,14800,12100,8100,6600,4400
sweatshirt jumper dress,27100,3600,8100,40500,60500,90500,74000,33100,18100,8100,4400,2900,1900
high knee boots brown,27100,8100,18100,49500,60500,60500,40500,22200,14800,12100,8100,6600,4400
jumper and dress,27100,3600,8100,40500,60500,90500,74000,33100,18100,8100,4400,2900,1900
jumper with dress,27100,3600,8100,40500,60500,90500,74000,33100,18100,8100,4400,2900,1900
winter coats,27100,12100,33100,74000,60500,74000,33100,27100,9900,5400,3600,3600,3600
maxi dresses,74000,110000,74000,60500,49500,60500,49500,60500,60500,90500,90500,110000,110000
white dress,60500,90500,60500,49500,49500,33100,33100,49500,49500,60500,60500,74000,74000
baby clothes,49500,49500,49500,60500,49500,60500,60500,60500,49500,49500,40500,40500,40500
going out tops,49500,27100,33100,49500,49500,60500,60500,60500,74000,74000,49500,40500,33100
jumpsuits,49500,60500,49500,49500,49500,60500,49500,49500,49500,49500,49500,60500,49500
skirts,49500,60500,49500,49500,49500,49500,49500,40500,40500,49500,40500,49500,49500
arne clothing,49500,27100,40500,49500,49500,90500,90500,60500,40500,40500,40500,40500,40500
arcteryx jacket,33100,14800,22200,49500,49500,60500,49500,40500,33100,22200,18100,14800,14800
nutmeg clothing,33100,33100,33100,40500,49500,40500,40500,27100,27100,33100,33100,40500,33100
male puffer jacket,27100,5400,12100,33100,49500,74000,49500,33100,18100,12100,6600,4400,3600
puffer mens coat,27100,5400,12100,33100,49500,74000,49500,33100,18100,12100,6600,4400,3600
jackets for men puffer,27100,5400,12100,33100,49500,74000,49500,33100,18100,12100,6600,4400,3600
coat mens puffer,27100,5400,12100,33100,49500,74000,49500,33100,18100,12100,6600,4400,3600
jacket men puffer,27100,5400,12100,33100,49500,74000,49500,33100,18100,12100,6600,4400,3600
fleece jacket,27100,8100,14800,40500,49500,49500,33100,33100,22200,22200,18100,12100,8100
mens puffer jacket,27100,5400,12100,33100,49500,74000,49500,33100,18100,12100,6600,4400,3600
black knee high boots,22200,8100,14800,33100,49500,49500,40500,22200,14800,12100,6600,5400,4400
black knee boots,22200,8100,14800,33100,49500,49500,40500,22200,14800,12100,6600,5400,4400
black knee high,22200,8100,14800,33100,49500,49500,40500,22200,14800,12100,6600,5400,4400
black boots high knee,22200,8100,14800,33100,49500,49500,40500,22200,14800,12100,6600,5400,4400
winter coats women,18100,6600,18100,49500,49500,49500,22200,22200,8100,4400,2400,1900,2400
mother of the bride dresses,49500,60500,49500,40500,40500,27100,22200,90500,74000,60500,60500,49500,40500
mini dress,49500,49500,40500,40500,40500,49500,49500,40500,40500,49500,49500,60500,60500
apricot clothing,49500,60500,49500,40500,40500,49500,49500,49500,40500,49500,60500,74000,60500
red dress,40500,40500,33100,33100,40500,49500,60500,40500,49500,33100,33100,33100,33100
baby clothes for boys,40500,33100,40500,40500,40500,40500,40500,40500,40500,40500,40500,33100,33100
windbreakers,40500,49500,49500,49500,40500,33100,27100,27100,33100,49500,49500,49500,40500
baggy jeans,33100,33100,33100,40500,40500,49500,49500,33100,27100,33100,27100,22200,22200
mens cargo trousers,33100,27100,27100,40500,40500,49500,49500,33100,27100,33100,27100,27100,22200
work trousers,33100,27100,33100,49500,40500,40500,27100,40500,33100,33100,27100,27100,27100
trousers,33100,33100,33100,49500,40500,40500,40500,33100,33100,40500,33100,33100,27100
ladies dressing gowns,33100,12100,18100,40500,40500,90500,90500,33100,22200,22200,14800,14800,12100
smart casual,33100,40500,33100,40500,40500,40500,27100,27100,27100,33100,33100,33100,40500
long sleeve dress,27100,18100,18100,33100,40500,40500,33100,33100,27100,27100,22200,22200,18100
longsleeve dress,27100,18100,18100,33100,40500,40500,33100,33100,27100,27100,22200,22200,18100
large sleeve dress,27100,18100,18100,33100,40500,40500,33100,33100,27100,27100,22200,22200,18100
party dresses for women,27100,18100,18100,27100,40500,60500,40500,22200,18100,18100,18100,18100,18100
girls coats,27100,14800,49500,60500,40500,49500,33100,33100,18100,12100,8100,5400,5400
boys tracksuits,27100,12100,14800,33100,40500,60500,49500,18100,22200,27100,14800,12100,8100
waterproof trousers,27100,14800,18100,49500,40500,49500,33100,40500,33100,22200,14800,18100,22200
polo tracksuit,27100,22200,27100,40500,40500,60500,49500,27100,22200,22200,18100,14800,12100
party dresses for ladies,27100,18100,18100,27100,40500,60500,40500,22200,18100,18100,18100,18100,18100
ankle boots,22200,9900,18100,40500,40500,49500,33100,27100,18100,14800,9900,8100,6600
boot for ankle,22200,9900,18100,40500,40500,49500,33100,27100,18100,14800,9900,8100,6600
puffer coat,22200,5400,18100,40500,40500,60500,33100,33100,14800,8100,4400,3600,2900
womens fleece jacket,22200,6600,14800,40500,40500,40500,33100,27100,18100,22200,18100,14800,6600
midi dress,49500,60500,49500,40500,33100,33100,27100,33100,33100,49500,60500,60500,60500
denim dress,49500,74000,60500,49500,33100,22200,14800,27100,40500,60500,60500,60500,60500
maternity clothes,40500,33100,40500,40500,33100,33100,40500,40500,40500,40500,40500,33100,27100
